model_key,method,doc_id,prediction,correct
gemma2,fp16,658,120,1
gemma2,fp16,662,8.00,0
gemma2,fp16,664,32,1
gemma2,fp16,667,53,1
gemma2,fp16,668,3,1
gemma2,fp16,671,4.00,0
gemma2,fp16,675,3,0
gemma2,fp16,678,120,1
gemma2,fp16,683,70,0
gemma2,fp16,684,11,1
gemma2,fp16,686,80,1
gemma2,fp16,687,10,0
gemma2,fp16,688,100,1
gemma2,fp16,689,32.00,0
gemma2,fp16,693,68,1
gemma2,fp16,695,8,0
gemma2,fp16,697,27,1
gemma2,fp16,700,135,1
gemma2,fp16,703,50,1
gemma2,fp16,704,10,0
gemma2,fp16,707,20,0
gemma2,fp16,710,36.00,0
gemma2,fp16,712,14,1
gemma2,fp16,713,576,1
gemma2,fp16,716,770,1
gemma2,fp16,717,5.00,0
gemma2,fp16,720,4,1
gemma2,fp16,724,2,0
gemma2,fp16,725,22.5,0
gemma2,fp16,727,320,0
gemma2,fp16,739,98,1
gemma2,fp16,740,10,0
gemma2,fp16,743,8,1
gemma2,fp16,744,4,1
gemma2,fp16,748,280,0
gemma2,fp16,749,6,0
gemma2,fp16,750,4,0
gemma2,fp16,756,22,1
gemma2,fp16,758,133,1
gemma2,fp16,760,12,0
gemma2,fp16,768,600,0
gemma2,fp16,769,105,0
gemma2,fp16,770,16,0
gemma2,fp16,771,3.00,0
gemma2,fp16,773,10,1
gemma2,fp16,774,10,1
gemma2,fp16,777,2000,0
gemma2,fp16,778,38.00,0
gemma2,fp16,780,125,0
gemma2,fp16,782,21,0
gemma2,fp16,786,142,1
gemma2,fp16,787,40,0
gemma2,fp16,791,90,0
gemma2,fp16,793,330,0
gemma2,fp16,795,20.00,0
gemma2,fp16,796,240000,0
gemma2,fp16,798,12.00,0
gemma2,fp16,799,2,0
gemma2,fp16,800,428,1
gemma2,fp16,803,0,0
gemma2,fp16,808,12,1
gemma2,fp16,809,50,1
gemma2,fp16,814,1,0
gemma2,fp16,816,4500,1
gemma2,fp16,817,15,1
gemma2,fp16,818,16,1
gemma2,fp16,819,6250,1
gemma2,fp16,821,35,1
gemma2,fp16,826,27,1
gemma2,fp16,827,32.00,0
gemma2,fp16,831,549.00,0
gemma2,fp16,835,4,0
gemma2,fp16,836,140,1
gemma2,fp16,837,280,0
gemma2,fp16,840,-4,0
gemma2,fp16,851,1320,0
gemma2,fp16,854,144,1
gemma2,fp16,859,1520,1
gemma2,fp16,865,23,1
gemma2,fp16,866,24,0
gemma2,fp16,867,7,1
gemma2,fp16,869,500,1
gemma2,fp16,871,48,1
gemma2,fp16,875,60,1
gemma2,fp16,879,575,1
gemma2,fp16,880,10,1
gemma2,fp16,882,201,0
gemma2,fp16,885,500,1
gemma2,fp16,886,20,1
gemma2,fp16,887,34,1
gemma2,fp16,889,15,1
gemma2,fp16,895,74,1
gemma2,fp16,897,-9,0
gemma2,fp16,898,110,1
gemma2,fp16,906,4,0
gemma2,fp16,907,16,1
gemma2,fp16,911,64.00,0
gemma2,fp16,912,6,1
gemma2,fp16,917,12,1
gemma2,fp16,920,40,0
gemma2,fp16,924,6,0
gemma2,fp16,925,0,0
gemma2,fp16,928,54.4,0
gemma2,fp16,929,60,1
gemma2,fp16,932,21,0
gemma2,fp16,936,-1050,0
gemma2,fp16,940,56,0
gemma2,fp16,942,178.75,0
gemma2,fp16,947,13,1
gemma2,fp16,948,15.00,0
gemma2,fp16,949,42,1
gemma2,fp16,950,20,0
gemma2,fp16,952,12,0
gemma2,fp16,953,1208,0
gemma2,fp16,958,57.6,0
gemma2,fp16,959,7,1
gemma2,fp16,965,446,0
gemma2,fp16,966,18,0
gemma2,fp16,967,20,0
gemma2,fp16,973,79,1
gemma2,fp16,980,90,1
gemma2,fp16,981,7,1
gemma2,fp16,984,654,0
gemma2,fp16,989,90,0
gemma2,fp16,994,2,1
gemma2,fp16,995,12,1
gemma2,fp16,996,3,1
gemma2,fp16,997,6000,0
gemma2,fp16,999,33.33,0
gemma2,fp16,1000,8,0
gemma2,fp16,1002,8,1
gemma2,fp16,1005,98,0
gemma2,fp16,1007,34,1
gemma2,fp16,1008,230,1
gemma2,fp16,1011,6000,1
gemma2,fp16,1014,3,1
gemma2,fp16,1020,22,1
gemma2,fp16,1022,6,0
gemma2,fp16,1024,300,1
gemma2,fp16,1027,6,0
gemma2,fp16,1034,66,1
gemma2,fp16,1041,101.00,0
gemma2,fp16,1042,10.83,0
gemma2,fp16,1044,45,0
gemma2,fp16,1048,3200,0
gemma2,fp16,1050,655,1
gemma2,fp16,1057,4,0
gemma2,fp16,1058,250,1
gemma2,fp16,1062,482,1
gemma2,fp16,1065,95,1
gemma2,fp16,1066,-26,0
gemma2,fp16,1067,245.00,0
gemma2,fp16,1068,40,0
gemma2,fp16,1069,300,1
gemma2,fp16,1070,6,0
gemma2,fp16,1072,25,0
gemma2,fp16,1078,200,0
gemma2,fp16,1083,2.00,0
gemma2,fp16,1085,13,0
gemma2,fp16,1089,10.67,0
gemma2,fp16,1090,5.266,0
gemma2,fp16,1092,540,0
gemma2,fp16,1094,33.33,0
gemma2,fp16,1097,480,1
gemma2,fp16,1098,30,1
gemma2,fp16,1099,2,1
gemma2,fp16,1101,16,1
gemma2,fp16,1104,24,1
gemma2,fp16,1105,33.33,0
gemma2,fp16,1108,38,1
gemma2,fp16,1109,3,1
gemma2,fp16,1110,185,0
gemma2,fp16,1112,5,1
gemma2,fp16,1113,-3,1
gemma2,fp16,1117,459,0
gemma2,fp16,1119,18,1
gemma2,fp16,1121,245,0
gemma2,fp16,1122,26,0
gemma2,fp16,1123,45,0
gemma2,fp16,1124,7,0
gemma2,fp16,1125,90,1
gemma2,fp16,1126,50,1
gemma2,fp16,1127,750,1
gemma2,fp16,1130,25,1
gemma2,fp16,1131,96,1
gemma2,fp16,1136,26,1
gemma2,fp16,1137,40,0
gemma2,fp16,1142,9,1
gemma2,fp16,1143,300,1
gemma2,fp16,1149,90,0
gemma2,fp16,1152,12,1
gemma2,fp16,1155,13,1
gemma2,fp16,1157,3,1
gemma2,fp16,1167,80,0
gemma2,fp16,1169,1.25,0
gemma2,fp16,1170,4,0
gemma2,fp16,1174,5,0
gemma2,fp16,1177,17,1
gemma2,fp16,1179,36.67,0
gemma2,fp16,1190,166,0
gemma2,fp16,1192,77.50,0
gemma2,fp16,1193,8.00,0
gemma2,fp16,1195,470,0
gemma2,fp16,1196,75,1
gemma2,fp16,1199,2.67,0
gemma2,fp16,1202,20,0
gemma2,fp16,1203,240,1
gemma2,fp16,1204,168,1
gemma2,fp16,1210,288,1
gemma2,fp16,1219,100,1
gemma2,fp16,1220,32,1
gemma2,fp16,1221,10,1
gemma2,fp16,1224,5,1
gemma2,fp16,1225,3,1
gemma2,fp16,1229,36,1
gemma2,fp16,1232,15,1
gemma2,fp16,1233,81,1
gemma2,fp16,1234,12,1
gemma2,fp16,1235,7.5,0
gemma2,fp16,1238,61.00,0
gemma2,fp16,1240,6,0
gemma2,fp16,1241,8.00,0
gemma2,fp16,1245,96,1
gemma2,fp16,1255,12,1
gemma2,fp16,1256,15,1
gemma2,fp16,1257,14.00,0
gemma2,fp16,1259,7200,1
gemma2,fp16,1261,5,0
gemma2,fp16,1263,500,1
gemma2,fp16,1266,147,1
gemma2,fp16,1267,40,1
gemma2,fp16,1273,35,0
gemma2,fp16,1274,30,0
gemma2,fp16,1277,49,0
gemma2,fp16,1278,665,1
gemma2,fp16,1281,20,1
gemma2,fp16,1282,14,0
gemma2,fp16,1284,8,0
gemma2,fp16,1290,72,0
gemma2,fp16,1292,73,0
gemma2,fp16,1293,140000,1
gemma2,fp16,1300,2,0
gemma2,fp16,1301,25,0
gemma2,fp16,1305,2305,0
gemma2,fp16,1308,30,1
gemma2,fp16,1309,1880,0
gemma2,fp16,1311,594,1
gemma2,fp16,1312,60,0
gemma2,fp16,1316,230,1
gemma2,gptq,0,18,1
gemma2,gptq,4,20,1
gemma2,gptq,6,260,1
gemma2,gptq,11,704,0
gemma2,gptq,14,60,1
gemma2,gptq,15,96,0
gemma2,gptq,16,480,0
gemma2,gptq,20,24,0
gemma2,gptq,21,2,0
gemma2,gptq,22,7,1
gemma2,gptq,24,0,0
gemma2,gptq,25,2,1
gemma2,gptq,31,80,1
gemma2,gptq,32,35,1
gemma2,gptq,34,23,1
gemma2,gptq,35,18,0
gemma2,gptq,37,13,0
gemma2,gptq,38,10,1
gemma2,gptq,42,26,1
gemma2,gptq,43,1500,0
gemma2,gptq,45,44,0
gemma2,gptq,47,2000,0
gemma2,gptq,48,8,1
gemma2,gptq,50,294,1
gemma2,gptq,52,15,1
gemma2,gptq,54,28,0
gemma2,gptq,59,187,1
gemma2,gptq,60,17,1
gemma2,gptq,62,52500,0
gemma2,gptq,64,36,0
gemma2,gptq,65,4,0
gemma2,gptq,67,595,1
gemma2,gptq,68,36,1
gemma2,gptq,72,221,1
gemma2,gptq,73,3,0
gemma2,gptq,74,85.95,0
gemma2,gptq,75,5,0
gemma2,gptq,78,6,1
gemma2,gptq,82,623,1
gemma2,gptq,86,7,0
gemma2,gptq,87,808,0
gemma2,gptq,88,8000,1
gemma2,gptq,89,18,0
gemma2,gptq,91,28,1
gemma2,gptq,96,3,1
gemma2,gptq,100,625,0
gemma2,gptq,102,15,0
gemma2,gptq,105,20,1
gemma2,gptq,106,270,0
gemma2,gptq,107,-2.5,0
gemma2,gptq,111,80,0
gemma2,gptq,117,360,1
gemma2,gptq,118,4,1
gemma2,gptq,119,95200,1
gemma2,gptq,125,14,0
gemma2,gptq,126,82,1
gemma2,gptq,129,11166.67,0
gemma2,gptq,130,30,1
gemma2,gptq,139,70,1
gemma2,gptq,142,140,1
gemma2,gptq,143,15,0
gemma2,gptq,152,4.00,0
gemma2,gptq,154,112,0
gemma2,gptq,157,140,0
gemma2,gptq,158,34,1
gemma2,gptq,160,16,1
gemma2,gptq,162,7,0
gemma2,gptq,163,50,1
gemma2,gptq,164,660,0
gemma2,gptq,165,67,0
gemma2,gptq,168,18,1
gemma2,gptq,169,120,1
gemma2,gptq,170,150,1
gemma2,gptq,172,52,0
gemma2,gptq,173,18000,1
gemma2,gptq,174,93,0
gemma2,gptq,175,60,0
gemma2,gptq,178,122,1
gemma2,gptq,179,130,1
gemma2,gptq,180,20,1
gemma2,gptq,183,38,0
gemma2,gptq,184,25,1
gemma2,gptq,188,13,0
gemma2,gptq,189,34.00,0
gemma2,gptq,193,12,0
gemma2,gptq,194,10,1
gemma2,gptq,197,6267,0
gemma2,gptq,198,220,0
gemma2,gptq,201,115500,0
gemma2,gptq,202,100,1
gemma2,gptq,203,31,1
gemma2,gptq,204,98,1
gemma2,gptq,217,15,1
gemma2,gptq,219,54,1
gemma2,gptq,221,90,1
gemma2,gptq,228,1,1
gemma2,gptq,229,21,1
gemma2,gptq,231,50,1
gemma2,gptq,238,68,1
gemma2,gptq,242,1.11,0
gemma2,gptq,243,250,1
gemma2,gptq,244,8,0
gemma2,gptq,246,27000,1
gemma2,gptq,249,4200,0
gemma2,gptq,251,70,1
gemma2,gptq,252,82,0
gemma2,gptq,255,20,0
gemma2,gptq,258,6.00,0
gemma2,gptq,259,82,0
gemma2,gptq,260,11,1
gemma2,gptq,267,51,0
gemma2,gptq,272,5.00,0
gemma2,gptq,279,6,1
gemma2,gptq,281,52.5,0
gemma2,gptq,285,21,1
gemma2,gptq,288,3,1
gemma2,gptq,290,390,1
gemma2,gptq,292,15,0
gemma2,gptq,298,750,0
gemma2,gptq,302,15,1
gemma2,gptq,303,3800,0
gemma2,gptq,304,800,0
gemma2,gptq,305,16,0
gemma2,gptq,306,10,1
gemma2,gptq,313,69000,0
gemma2,gptq,318,123,1
gemma2,gptq,319,15,1
gemma2,gptq,320,5,0
gemma2,gptq,322,24,0
gemma2,gptq,328,0.22,0
gemma2,gptq,331,24000,0
gemma2,gptq,333,100,1
gemma2,gptq,335,310,1
gemma2,gptq,337,1,1
gemma2,gptq,339,320,0
gemma2,gptq,340,3,0
gemma2,gptq,341,6,0
gemma2,gptq,342,63,0
gemma2,gptq,343,180000,1
gemma2,gptq,347,2,0
gemma2,gptq,351,100,0
gemma2,gptq,355,34,1
gemma2,gptq,357,12,0
gemma2,gptq,358,20.00,0
gemma2,gptq,364,38,0
gemma2,gptq,367,1,0
gemma2,gptq,368,37.36,0
gemma2,gptq,370,320,1
gemma2,gptq,372,5,1
gemma2,gptq,373,240000,1
gemma2,gptq,379,21,1
gemma2,gptq,383,14,0
gemma2,gptq,384,32,1
gemma2,gptq,385,29,0
gemma2,gptq,387,36,1
gemma2,gptq,388,88,1
gemma2,gptq,389,-18,0
gemma2,gptq,396,3,1
gemma2,gptq,402,1,0
gemma2,gptq,403,30,0
gemma2,gptq,406,120,0
gemma2,gptq,407,2000,1
gemma2,gptq,412,5,1
gemma2,gptq,417,3140,1
gemma2,gptq,419,6000,0
gemma2,gptq,420,13000,0
gemma2,gptq,421,12,1
gemma2,gptq,426,11,1
gemma2,gptq,429,7,0
gemma2,gptq,430,132.00,0
gemma2,gptq,432,30,1
gemma2,gptq,438,2.00,0
gemma2,gptq,439,5,0
gemma2,gptq,441,80,1
gemma2,gptq,443,90,0
gemma2,gptq,446,2,1
gemma2,gptq,447,5,1
gemma2,gptq,448,539,1
gemma2,gptq,452,50,1
gemma2,gptq,453,8800,0
gemma2,gptq,455,1920,1
gemma2,gptq,458,35,1
gemma2,gptq,459,2,1
gemma2,gptq,468,70,0
gemma2,gptq,469,4,1
gemma2,gptq,471,80,1
gemma2,gptq,474,-80,0
gemma2,gptq,475,60,0
gemma2,gptq,482,26,1
gemma2,gptq,483,20,0
gemma2,gptq,484,240,1
gemma2,gptq,494,15.3,0
gemma2,gptq,496,50,0
gemma2,gptq,497,224,0
gemma2,gptq,498,40,1
gemma2,gptq,499,10,1
gemma2,gptq,502,26,1
gemma2,gptq,504,4,0
gemma2,gptq,506,144.00,0
gemma2,gptq,507,2.00,0
gemma2,gptq,508,120,1
gemma2,gptq,509,4,1
gemma2,gptq,513,300,1
gemma2,gptq,521,-9,0
gemma2,gptq,527,5,0
gemma2,gptq,530,8,0
gemma2,gptq,534,180,0
gemma2,gptq,535,30,0
gemma2,gptq,536,8,1
gemma2,gptq,537,188,1
gemma2,gptq,538,72,0
gemma2,gptq,539,60,0
gemma2,gptq,542,7.00,0
gemma2,gptq,544,80,1
gemma2,gptq,546,65,0
gemma2,gptq,549,318,0
gemma2,gptq,550,27.45,0
gemma2,gptq,551,17.00,0
gemma2,gptq,553,92,1
gemma2,gptq,555,80,0
gemma2,gptq,560,45,1
gemma2,gptq,568,180,0
gemma2,gptq,574,10.00,0
gemma2,gptq,575,276.00,0
gemma2,gptq,579,7,1
gemma2,gptq,583,136,0
gemma2,gptq,587,0.01,0
gemma2,gptq,590,316,0
gemma2,gptq,592,1,1
gemma2,gptq,595,3,0
gemma2,gptq,599,48,1
gemma2,gptq,600,10,1
gemma2,gptq,601,99,0
gemma2,gptq,602,2000,0
gemma2,gptq,610,67560,0
gemma2,gptq,614,312.00,0
gemma2,gptq,615,33.00,0
gemma2,gptq,616,3,0
gemma2,gptq,620,1135,0
gemma2,gptq,622,7,1
gemma2,gptq,627,70,0
gemma2,gptq,629,17500,1
gemma2,gptq,630,15,0
gemma2,gptq,632,45,1
gemma2,gptq,644,29,1
gemma2,gptq,645,48,1
gemma2,gptq,646,79,1
gemma2,gptq,648,27,0
gemma2,gptq,652,465,0
gemma2,gptq,654,4,0
gemma2,gptq,657,180000,0
gemma2,gptq,658,120,1
gemma2,gptq,662,8.00,0
gemma2,gptq,664,32,1
gemma2,gptq,667,53,1
gemma2,gptq,668,3,1
gemma2,gptq,671,4.00,0
gemma2,gptq,675,34,0
gemma2,gptq,678,60,0
gemma2,gptq,683,60,0
gemma2,gptq,684,11,1
gemma2,gptq,686,80,1
gemma2,gptq,687,25.5,0
gemma2,gptq,688,100,1
gemma2,gptq,689,10.40,0
gemma2,gptq,693,68,1
gemma2,gptq,695,8,0
gemma2,gptq,697,81,0
gemma2,gptq,700,135,1
gemma2,gptq,703,50,1
gemma2,gptq,704,50,1
gemma2,gptq,707,60,0
gemma2,gptq,710,36.00,0
gemma2,gptq,712,16,0
gemma2,gptq,713,576,1
gemma2,gptq,716,770,1
gemma2,gptq,717,5.00,0
gemma2,gptq,720,4,1
gemma2,gptq,724,27,0
gemma2,gptq,725,25,1
gemma2,gptq,727,320,0
gemma2,gptq,739,98,1
gemma2,gptq,740,10,0
gemma2,gptq,743,8,1
gemma2,gptq,744,4,1
gemma2,gptq,748,280,0
gemma2,gptq,749,3,1
gemma2,gptq,750,4,0
gemma2,gptq,756,16.5,0
gemma2,gptq,758,133,1
gemma2,gptq,760,12,0
gemma2,gptq,768,600,0
gemma2,gptq,769,135,0
gemma2,gptq,770,16,0
gemma2,gptq,771,3,1
gemma2,gptq,773,10,1
gemma2,gptq,774,10,1
gemma2,gptq,777,2000,0
gemma2,gptq,778,38.00,0
gemma2,gptq,780,151,0
gemma2,gptq,782,147,0
gemma2,gptq,786,142,1
gemma2,gptq,787,25,1
gemma2,gptq,791,100,1
gemma2,gptq,793,330,0
gemma2,gptq,795,20.00,0
gemma2,gptq,796,240000,0
gemma2,gptq,798,2,0
gemma2,gptq,799,4,1
gemma2,gptq,800,428,1
gemma2,gptq,803,30,0
gemma2,gptq,808,48,0
gemma2,gptq,809,100,0
gemma2,gptq,814,1,0
gemma2,gptq,816,4500,1
gemma2,gptq,817,25,0
gemma2,gptq,818,16,1
gemma2,gptq,819,6250,1
gemma2,gptq,821,105,0
gemma2,gptq,826,27,1
gemma2,gptq,827,24.00,0
gemma2,gptq,831,549.00,0
gemma2,gptq,835,36,0
gemma2,gptq,836,140,1
gemma2,gptq,837,280,0
gemma2,gptq,840,-4,0
gemma2,gptq,851,1320,0
gemma2,gptq,854,120,0
gemma2,gptq,859,1520,1
gemma2,gptq,865,33,0
gemma2,gptq,866,3,0
gemma2,gptq,867,7,1
gemma2,gptq,869,500,1
gemma2,gptq,871,48,1
gemma2,gptq,875,60,1
gemma2,gptq,879,575,1
gemma2,gptq,880,10,1
gemma2,gptq,882,201,0
gemma2,gptq,885,500,1
gemma2,gptq,886,20,1
gemma2,gptq,887,34,1
gemma2,gptq,889,15,1
gemma2,gptq,895,74,1
gemma2,gptq,897,9,0
gemma2,gptq,898,100,0
gemma2,gptq,906,4,0
gemma2,gptq,907,16,1
gemma2,gptq,911,64.00,0
gemma2,gptq,912,6,1
gemma2,gptq,917,12,1
gemma2,gptq,920,47,1
gemma2,gptq,924,24,0
gemma2,gptq,925,6,0
gemma2,gptq,928,38.4,0
gemma2,gptq,929,60,1
gemma2,gptq,932,20,0
gemma2,gptq,936,240,0
gemma2,gptq,940,280,1
gemma2,gptq,942,178.75,0
gemma2,gptq,947,13,1
gemma2,gptq,948,15.00,0
gemma2,gptq,949,21,0
gemma2,gptq,950,4,0
gemma2,gptq,952,12,0
gemma2,gptq,953,18.8,0
gemma2,gptq,958,57.6,0
gemma2,gptq,959,7,1
gemma2,gptq,965,446,0
gemma2,gptq,966,48,1
gemma2,gptq,967,20,0
gemma2,gptq,973,79,1
gemma2,gptq,980,90,1
gemma2,gptq,981,6,0
gemma2,gptq,984,444,0
gemma2,gptq,989,16,0
gemma2,gptq,994,2,1
gemma2,gptq,995,12,1
gemma2,gptq,996,10,0
gemma2,gptq,997,6000,0
gemma2,gptq,999,16.67,0
gemma2,gptq,1000,-500,0
gemma2,gptq,1002,8,1
gemma2,gptq,1005,1490,1
gemma2,gptq,1007,34,1
gemma2,gptq,1008,230,1
gemma2,gptq,1011,6000,1
gemma2,gptq,1014,3,1
gemma2,gptq,1020,22,1
gemma2,gptq,1022,120,0
gemma2,gptq,1024,300,1
gemma2,gptq,1027,12,1
gemma2,gptq,1034,66,1
gemma2,gptq,1041,101,1
gemma2,gptq,1042,10.83,0
gemma2,gptq,1044,45,0
gemma2,gptq,1048,12482,0
gemma2,gptq,1050,655,1
gemma2,gptq,1057,24,1
gemma2,gptq,1058,250,1
gemma2,gptq,1062,282,0
